full_text,sentiment,clean_full_text,word_count
@aewin86 Kapan lagi punya presiden hebat kayak pak Anis capek lihat Ganjar dan Prabowo yg goblok,negatif,  Kapan lagi punya presiden hebat mirip  pak Anis capai  lihat Ganjar dan Prabowo yang bodoh ,15
Tujuannya counter Anies kemaren biar Anies ngomongin adab (tp jdnya ga valid karena Anies duluan) kira2 begitu https://t.co/OAD4yAaFBa,netral, Tujuannya menangkal Anies kemarin biar Anies omongi adab (tp jadinya  tidak valid karena Anies duluan) kira kira begitu  ,18
@berlianidris @YantoThobenk Doa sepertiga malam dok..itu yg bisa sy lakukan saat ini..sy sebut aja nama pak Anies dan pk Muhaimin..In Syaa Allah diijabah Allah Azza Wajallah..Aamiin Yaa Robbal'alamin,netral,   Doa sepertiga malam dok..itu yang bisa saya lakukan saat ini..sy sebut saja nama pak Anies dan pak Muhaimin..In Syaa Allah diijabah Allah Azza Wajallah..Aamiin Yaa Robbal'alamin ,26
@FayaAtika sudah budhe. pakai etika pas duo cawapres diserang bocil sendirian. pakai gaya amrik waktu duo capres membully Prabowo.,netral,  sudah budhe. pakai etika pas duo cawapres diserang bocil sendirian. pakai gaya amerika waktu duo capres merundung Prabowo. ,18
Ganjar-Mahfud memahami bahwa petugas pajak yang berintegritas adalah kunci utama untuk memberikan pelayanan yang baik kepada wajib pajak. @ssungbeann Hebat ! Sat Set https://t.co/VRBTs9OoH4,positif, Ganjar-Mahfud memahami bahwa petugas pajak yang berintegritas adalah kunci utama untuk memberikan pelayanan yang baik kepada wajib pajak.  Hebat ! Sat Set  ,22
@Dennysiregar7 KPU debat kelima suruh menemukan seluruh paslon. Biar ada kesempatan gibran vs anies vs ganjar biar greget pilpres 2024,netral,  KPU debat ke lima suruh menemukan seluruh paslon. Biar ada kesempatan gibran versus anies versus ganjar biar gereget pilpres 2024 ,20
@DrEliDavid 12.500 belum yang mati lohh https://t.co/M8y3WwoFwl,netral,  12.500 belum yang mati lo  ,5
@VIVAcoid Kami juga yakin Prabowo Gibran bakal menang satu putaran,netral,  Kami juga yakin Prabowo Gibran bakal menang satu putaran ,9
@JackRey829815 @ekowboy2 kata ridwan kamil pendukung prabowo otaknya menengah kebawah dan elu contohnyaa ,netral,   kata ridwan kamil pendukung prabowo otaknya menengah ke bawah dan kamu contohnya  ,12
Nyerang sama adab itu dua hal yang berbeda. Gibran nyerangnya ngece pake gegayaan sih pantes aja dianggap ga beradab. Anies dan Ganjar nyerang B aja pake kritik kata-kata aja dianggap pendukung 02 ga beradab apalagi Gibran yang lebih parah gini? Pendukung 02 jangan standar ganda,netral, Nyerang sama adab itu dua hal yang berbeda. Gibran serangnya kece pakai gegayaan sih pantas saja dianggap tidak beradab. Anies dan Ganjar serang B saja pakai kritik kata kata saja dianggap pendukung 02 tidak beradab apalagi Gibran yang lebih parah gini? Pendukung 02 jangan standar ganda ,46
@amayeorobun Cocok disebut abah anies sangat bangga dengan gus imin seperti memeluk anaknya sendiri,positif,  Cocok disebut abah anies sangat bangga dengan gus imin seperti memeluk anaknya sendiri ,13
@realfedinuril Ketika bahtera rumah tangga sedang di uji oleh para grongi saatnya henshin! https://t.co/hNlguGmRfe https://t.co/UT4KGK20qg,netral,  Ketika bahtera rumah tangga sedang di uji oleh para grogi saatnya henshin!   ,12
@Dahnilanzar @gibran_tweet dahnil juga ngomongnya kosong gk ada isinya...,netral,   dahnil juga mengomongnya kosong tidak ada isinya... ,7
Gw gak tahu apakah debat kemaren menaikkan elektabilitas anies tapi gue yakin debat kemaren menurunkan drastis elektabilitas prabowo #debat,netral, Gw tidak tahu apakah debat kemarin menaikkan elektabilitas anies tapi saya yakin debat kemarin menurunkan drastis elektabilitas prabowo  ,18
Kombinasi visi Ganjar-Mahfud menciptakan momentum positif untuk mendorong ekspor dan impor Indonesia. @windri3868 Juara ! Pasti Lebih Baik https://t.co/VyMbIlC3nk,positif, Kombinasi visi Ganjar-Mahfud menciptakan momentum positif untuk mendorong ekspor dan impor Indonesia.  Juara ! Pasti Lebih Baik  ,17
