full_text,sentiment,word_count,text_preprocessed
@aewin86 Kapan lagi punya presiden hebat kayak pak Anis capek lihat Ganjar dan Prabowo yg goblok,-1,15,presiden hebat anies capai lihat ganjar prabowo bodoh
Tujuannya counter Anies kemaren biar Anies ngomongin adab (tp jdnya ga valid karena Anies duluan) kira2 begitu https://t.co/OAD4yAaFBa,0,18,tuju tangkal anies kemarin biar anies omong adab valid anies dulu
@berlianidris @YantoThobenk Doa sepertiga malam dok..itu yg bisa sy lakukan saat ini..sy sebut aja nama pak Anies dan pk Muhaimin..In Syaa Allah diijabah Allah Azza Wajallah..Aamiin Yaa Robbal'alamin,0,26,doa tiga malam dok laku nama anies muhaiminkan allah diijabah allah azza wajallahaamiin iya rabbal alamin
@FayaAtika sudah budhe. pakai etika pas duo cawapres diserang bocil sendirian. pakai gaya amrik waktu duo capres membully Prabowo.,0,18,bude pakai etika pas duo cawapres serang bocil pakai gaya amerika duo capres rundung prabowo
Ganjar-Mahfud memahami bahwa petugas pajak yang berintegritas adalah kunci utama untuk memberikan pelayanan yang baik kepada wajib pajak. @ssungbeann Hebat ! Sat Set https://t.co/VRBTs9OoH4,1,22,ganjar mahfud paham petugas pajak integritas kunci utama pelayanan wajib pajak hebat sat set
@Dennysiregar7 KPU debat kelima suruh menemukan seluruh paslon. Biar ada kesempatan gibran vs anies vs ganjar biar greget pilpres 2024,0,20,kpu debat suruh temu paslon biar sempat gibran versus anies versus ganjar biar gereget pilpres
@DrEliDavid 12.500 belum yang mati lohh https://t.co/M8y3WwoFwl,0,5,mati lo
@VIVAcoid Kami juga yakin Prabowo Gibran bakal menang satu putaran,0,9,prabowo gibran menang putar
@JackRey829815 @ekowboy2 kata ridwan kamil pendukung prabowo otaknya menengah kebawah dan elu contohnyaa ,0,12,ridwan kamil dukung prabowo otak tengah contoh
Nyerang sama adab itu dua hal yang berbeda. Gibran nyerangnya ngece pake gegayaan sih pantes aja dianggap ga beradab. Anies dan Ganjar nyerang B aja pake kritik kata-kata aja dianggap pendukung 02 ga beradab apalagi Gibran yang lebih parah gini? Pendukung 02 jangan standar ganda,0,46,serang adab beda gibran serang kece pakai gegayaan sih anggap adab anies ganjar serang b pakai kritik anggap dukung adab gibr parah dukung standar ganda
@amayeorobun Cocok disebut abah anies sangat bangga dengan gus imin seperti memeluk anaknya sendiri,1,13,cocok abah anies bangga gus imin peluk anak
@realfedinuril Ketika bahtera rumah tangga sedang di uji oleh para grongi saatnya henshin! https://t.co/hNlguGmRfe https://t.co/UT4KGK20qg,0,12,bahtera rumah tangga uji grogi henshin
@Dahnilanzar @gibran_tweet dahnil juga ngomongnya kosong gk ada isinya...,0,7,dahnil omong kosong isi
Gw gak tahu apakah debat kemaren menaikkan elektabilitas anies tapi gue yakin debat kemaren menurunkan drastis elektabilitas prabowo #debat,0,18,debat kemarin naik elektabilitas anies debat kemarin turun drastis elektabilitas prabowo
Kombinasi visi Ganjar-Mahfud menciptakan momentum positif untuk mendorong ekspor dan impor Indonesia. @windri3868 Juara ! Pasti Lebih Baik https://t.co/VyMbIlC3nk,1,17,kombinasi visi ganjar mahfud cipta momentum positif dorong ekspor impor indonesia juara
@majedub596 Hanya pasangan Anies - Muhaimin yang paling lengkap dan saling melengkapi.. yg di butuhkan Indonesia saat ini. Hanya Anies Baswedan yang mampu membawa Indonesia lebih baik dan lebih maju,0,29,pasang anies muhaimin lengkap lengkap butuh indonesia anies baswedan bawa indonesia maju
Bersama Anis-Muhaimin kita kembalikan posisi Indonesia sebagai Bangsa yang disegani dunia... #AMINAjaDulu #AniesUnggul #PakaiOtakHati @aniesbaswedan @cakimiNOW https://t.co/upNFim6YtV,0,11,anies muhaimin kembali posisi indonesia bangsa segani dunia
Muhaimin Iskandar mengakhiri debat cawapres kedua Minggu malam 21 Januari 2024 dengan puas. Performanya jauh lebih baik daripada debat pertama pada 22 Desember 2024 lalu. https://t.co/HZx2uMLT1j,1,25,muhaimin iskandar debat cawapres minggu malam januari puas performa debat desember
@Megatop99 @yon_djawir Di tempat kami cm usil aja mas Gibran nya https://t.co/fZkH21BpXk,0,9,usil mas gibran nya
@Tita83079013 @aniesbaswedan @prabowo @ganjarpranowo Hm......gituh??? Abah komen dlm hati ajah nak! Soalnye....seyeemmmm!,0,8,hem abah koman hati anak seyem
Memang Carbon Capture Storage relatif sesuatu yg baru untuk Indonesia. Tapi jawaban Prof Mahfud atas pertanyaan gibran soal itu 100% benar setahu saya mmg blm diatur nah untuk mengetahui bagaimana aturan nantinya maka diperlukan naskah akademik.,0,36,karbon tangkap penyimpanan relatif indonesia profesor mahfud gibran tahu atur atur naskah akademik
Sebanyak 43 9% pendukung Jokowi di 2019 memilih paslon dari Koalisi Indonesia Maju. Kemudian 35 2% mendukung Ganjar-Mahfud dan segelintir lainnya yakni 14 4% lainnya memilih Anies-Muhaimin.,0,27,dukung jokowi pilih paslon koalisi indonesia maju dukung ganjar mahfud gelintir pilih anies muhaimin
@ganjarpranowo Keterlibatan Pak Ganjar dalam kunjungan ke Katedral Bogor menunjukkan sikap inklusif dan toleran terhadap perbedaan agama menciptakan suasana saling penghargaan antara pemerintah dan tokoh agama.,1,25,libat ganjar kunjung katedral bogor sikap inklusif toleran beda agama cipta suasana harga perin tokoh agama
@tvOneNews Ini baru pasangan favoritku pak Prabowo dan mas Gibran,1,9,pasang favorit prabowo mas gibran
Gibran lebih parah cok debat capres mah cuma kritik kinerja dan nilai kinerja owo doang.,0,15,gibran parah cok debat capres mah kritik kinerja nilai kinerja prabowo
@strike_bravo_b Bulikku pendukung Cak Imin lihat Gibran gak sopan dan kemlinthi ke Mahfud terus ; Ngomonge ngunu banget yo? Koyok gak nduwe toto kromo ora sopan blas. IT'S OVER.,0,28,bulikku dukung cak imin lihat gibran sopan kemlinthi mahfud omong ngunu iya kayak nduwe tata krama sopan blas its
@davidfong_ Pendukung nya Prabowo GK malu ya bilang etika Mulu padahal paslonnya aja melanggar etika,0,14,dukung nya prabowo malu iya bilang etika paslonnya langgar etika
@anneserlo Ganjar menang,1,2,ganjar menang
HOTLINE PENGACARA GRATIS (HOTLINE PARIS) Bantuan pengacara gratis (PARIS) untuk kasus pidana dan perdata melalui Hotline 24 Jam. Ayo Lebih Baik! Bersama Anies Baswedan dan Muhaimin Iskandar. Bersama #PKSmenangAMIN PilihPKS CoblosAMIN @PKSejahtera @syaikhu_ahmad https://t.co/G9JEc3Iwxa,1,30,salur telepon acara gratis salur telepon paris bantu acara gratis paris pidana perdata salur telepon jam ayo anies baswedan muhaimin iskandar pilih pks coblos amin
@ganjarpranowo Bener banget pak bahagia sekali BS berkumpul sambil bercanda apa lagi ngobrol bareng pak Ganjar ,-1,15,bahagia kumpul canda bicara bareng ganjar
@CNNIndonesia lah mw di samperin ama anies malah udah kabur duluan ,0,10,samper anies kabur dulu
@dhiendaln Inget bngt Anies kasih poin 11/100 Karena Prabowo bilang kalo Anies Gak pantes ngomong Etik sangat tidak sopan,0,18,anies kasih poin prabowo bilang anies omong etik sopan
@_Cheesetea_ @ruthnats Ya rakyat sih g melihat begitu.. krn scra umum anies ckp dekat sampe tb2 diputus,0,16,iya rakyat sih anies putus
@Fahmi_Ismail87 Alhamdulillah.. hihi,1,2,alhamdulillah ha
Ganjar-Mahfud ingin membangun fondasi yang kokoh bagi pertumbuhan ekonomi jangka panjang dengan menciptakan aturan yang baik. @senwahh_h Juara ! Sat Set https://t.co/a1hYLvZDXB,1,20,ganjar mahfud bangun fondasi kokoh tumbuh ekonomi jangka cipta atur juara sat set
@VIVAcoid Ga respek sama sekali ke no 2 lebih baik dukung nomor 1 deh. Kalau tidak berhasil ada Ganjar yang pantas dipilih https://t.co/piGNRq6jfL,0,21,respek dukung nomor deh hasil ganjar pilih
@OliviaCath1540 Ya emang harus diakui Prabowo memiliki kesabaran yg sangat tinggi...diruang debat !!! Abis tu diluar debat mulutnya gak karuan melebihi mulut anak kecil yg sedang merengek minta permen ,-1,29,iya diakui prabowo milik sabar ruang debat habis debat mulut karuan lebih mulut anak rengek permen
@TxtdariHI @ganjarpranowo @aniesbaswedan @prabowo Mau sampai akhir pun tetep Ganjar nomor 1 di hati masyarakat #GanjarMahfudM3nangDebat,0,11,ganjar nomor hati masyarakat
Dalam Ganjar-Mahfud rakyat melihat pemimpin yang tidak hanya berkomitmen pada keberlanjutan tetapi juga pada keadilan sosial. @woohohojjang Hebat ! Sat Set https://t.co/HAVJPdOEJ9,1,20,ganjar mahfud rakyat pimpin komitmen lanjut adil sosial hebat sat set
@joko_maryadi @DedynurPalakka @ganjarpranowo @mohmahfudmd @aniesbaswedan @cakimiNOW @prabowo @gibran_tweet Koalisi lemah...,0,2,koalisi lemah
@detikcom Sudah tinggal pelantikan saja Anies Muhaimin .,1,7,tinggal pelantikan anies muhaimin
