sentiment,text_preprocessed
-1,presiden hebat anies capai lihat ganjar prabowo bodoh
0,tuju tangkal anies kemarin biar anies omong adab valid anies dulu
0,doa tiga malam dok laku nama anies muhaiminkan allah diijabah allah azza wajallahaamiin iya rabbal alamin
0,bude pakai etika pas duo cawapres serang bocil pakai gaya amerika duo capres rundung prabowo
1,ganjar mahfud paham petugas pajak integritas kunci utama pelayanan wajib pajak hebat sat set
0,kpu debat suruh temu paslon biar sempat gibran versus anies versus ganjar biar gereget pilpres
0,mati lo
0,prabowo gibran menang putar
0,ridwan kamil dukung prabowo otak tengah contoh
0,serang adab beda gibran serang kece pakai gegayaan sih anggap adab anies ganjar serang b pakai kritik anggap dukung adab gibr parah dukung standar ganda
1,cocok abah anies bangga gus imin peluk anak
0,bahtera rumah tangga uji grogi henshin
0,dahnil omong kosong isi
0,debat kemarin naik elektabilitas anies debat kemarin turun drastis elektabilitas prabowo
1,kombinasi visi ganjar mahfud cipta momentum positif dorong ekspor impor indonesia juara
0,pasang anies muhaimin lengkap lengkap butuh indonesia anies baswedan bawa indonesia maju
0,anies muhaimin kembali posisi indonesia bangsa segani dunia
1,muhaimin iskandar debat cawapres minggu malam januari puas performa debat desember
0,usil mas gibran nya
0,hem abah koman hati anak seyem
0,karbon tangkap penyimpanan relatif indonesia profesor mahfud gibran tahu atur atur naskah akademik
0,dukung jokowi pilih paslon koalisi indonesia maju dukung ganjar mahfud gelintir pilih anies muhaimin
1,libat ganjar kunjung katedral bogor sikap inklusif toleran beda agama cipta suasana harga perin tokoh agama
1,pasang favorit prabowo mas gibran
0,gibran parah cok debat capres mah kritik kinerja nilai kinerja prabowo
0,bulikku dukung cak imin lihat gibran sopan kemlinthi mahfud omong ngunu iya kayak nduwe tata krama sopan blas its
0,dukung nya prabowo malu iya bilang etika paslonnya langgar etika
1,ganjar menang
1,salur telepon acara gratis salur telepon paris bantu acara gratis paris pidana perdata salur telepon jam ayo anies baswedan muhaimin iskandar pilih pks coblos amin
-1,bahagia kumpul canda bicara bareng ganjar
0,samper anies kabur dulu
0,anies kasih poin prabowo bilang anies omong etik sopan
0,iya rakyat sih anies putus
1,alhamdulillah ha
1,ganjar mahfud bangun fondasi kokoh tumbuh ekonomi jangka cipta atur juara sat set
0,respek dukung nomor deh hasil ganjar pilih
-1,iya diakui prabowo milik sabar ruang debat habis debat mulut karuan lebih mulut anak rengek permen
0,ganjar nomor hati masyarakat
1,ganjar mahfud rakyat pimpin komitmen lanjut adil sosial hebat sat set
0,koalisi lemah
1,tinggal pelantikan anies muhaimin
1,bismillah ganjar mahfud pimpin indonesia
0,amat strategi anies sih debat prabowo suka pancing emosi kayak sedari anies niat agresif utama hindar jadi gibran muhaimin
0,kali akun semangat nama nu posting bikin pecah
1,moga keluarga ganjar lindung prestasi usik keluarga orang cari celah
0,jurus andal kalah debat minim gagas alias kosong baik rakyat indonesia coblos anies muhaimin
0,gibran pongah strategi infrastruktur sosial gibr makan siang gratis apa nya nya makan siang gratis calon wakil presiden mahfud md muhaimin iskandar gibr rakabuming sesi
0,insya allah anies muhaimin menang putar
0,salah foto tumbang putar prabowo calon presiden abadi amin bukti prediksi golput baik
0,nya bodoh nalar cil dukung anies paham maksud si samsul analogi kebun bintang bintang benar dongo
1,moga ganjar mahfud menang indonesia sejahtera
0,akronim sgie chatgpt beda arti cawapres tanya sulit gus muhaimin
0,fitnah
0,panik iya capresnya rujak main korban ha
1,ganjar sosok capres baik sih pokok nya pasang capres
0,ganjar pranowo makna kumpul satu hangat
1,anies muhaimin pilih cerdas indonesia cerah
1,main korban anies janji ahy wapres partai otot wapres sepakat pilih wapres anies sepakat demokrat paksa deklarasi cepat ancam koalisi
1,data lahan omong jokowi diam gilir anies bilang marah
0,nyata nya nyata beda nyata prabowo acara mbak najwa
0,fakta benci saudara benci sangkal fakta khianat ganjar jokowi latah cela nya bela sangkal fakta benci jokow
0,pilih anies muhaimin ayo amin
-1,pilih anies
-1,dukung anies akui tanya dangkal dangkal level mahasiswa anies profesor mahfud ikut
0,asa cawapres lo lae sadar malam gibran menang telak serang
1,ganjar mahfud komitmen lanjut bangun presiden jokowi bangun daerah triliun
1,sehat anies gus muhaimin maju
0,anies rakyat berani singgung tanah menhan kinerja utang tokoh masyarakat penyambung lidah rakyat
1,pimpin ganjar mahfud inovasi pilar utama hadap tantang global dagang juara
0,balita bayi puluh
0,norak gibran
0,minimal malu sih anies debat bawa jatuh prabowo gilir cawapres nya begitu amuk ha
0,kuat paham unggul anies muhaimin butuh mampu kognisi cerdas biasa pikir rerata iq indonesia butuh kuat paham linieritas sirna bonus tuhan paha esa
0,panggang prabowo gibran
0,walikota sapa coba ha
1,kalang perempuan muda semangat menang pasang ganjar mahfud
1,ganjar mahfud tawar solusi holistik libat partisipasi aktif capai sistem paja hebat sat set
0,mas gibran tampan rupawan
1,target pilpres pasang anies muhaimin raih persen suara jawa barat lumbung suara pks pilih pks coblos amin
1,banteng merah pilih ku layak api bara moga semangat bara ganjar mahfud indonesia unggul indonesia emas
1,anies muhaimin dep percaya
0,target miskin ekstrem ganjar mahfud patut apresiasi visi misi ganjar memahfud
0,deskripsi asli bos komentar debat fokus kostum pamer samsul tren bodoh bangga
0,gibran anak mama suri konstitusi mati suri ironis kualitas anak haram konstitusi lebih gibr si anak mama suri anak haram konstitusi gibr genggam
1,ganjar mahfud dorong partisipasi aktif masyarakat awal kelola uang negara hebat
0,anies bertemu muhaimin debat pamungkas
0,pagi sayang
1,tuju program makan gratis bantu prabowo
1,prasangka macem beliau gestur otomatis pribadi bayang surabaya prabowo postur tegap berperilaku jokowi gesturnya iya
0,ha ha anies ngebet gibran anies woi ha
0,anies muhaimin menang
-1,prabowo sih anies bicara etika orang kentut tuduh samping
1,anies muhaimin tekan jaga satu satu bangsa mengedepankan dialog rekonsiliasi selesai ham janji berantas korupsi dorong buka informasi publik kuat lembaga tegak hukum
-1,ganjar mahfud asai partai mengerti kader partai laku negara rakyat wakil amanah
0,kagum prabowo gibran satu garis bawah fasilitas sehat benteng tahan inisiatif cermin sadar dalam sejahtera masyarakat
0,bodoh bodoh nya rasa amin amin beda arti beda makna takut nya iya anies presiden sepele masa
0,lawan pikir si menteri kuasa panggung tahu bantai anies ganjar awas asam urat kumat
0,keluarga pilih anies muhaimin
0,mas gibran oke
